Ref,Val,Package,PosX,PosY,Rot,Side
"CON1","~","FH-00148_PinSocket_2x20_P2.54mm",4.500000,26.000000,180.000000,bottom
"CON2","~","FH-00148_PinSocket_2x20_P2.54mm",40.500000,26.000000,180.000000,bottom
"C1","0.1uf","C_0402_1005Metric",28.500000,23.000000,90.000000,top
"C2","0.1uf","C_0402_1005Metric",22.000000,21.200000,-90.000000,top
"C3","0.1uf","C_0402_1005Metric",15.500000,25.000000,180.000000,top
"C4","0.1uf","C_0402_1005Metric",16.000000,31.200000,0.000000,top
"C5","0.1uf","C_0402_1005Metric",22.200000,34.800000,-90.000000,top
"C6","0.1uf","C_0402_1005Metric",16.500000,33.000000,-90.000000,top
"C7","0.1uf","C_0402_1005Metric",28.900000,31.700000,180.000000,top
"C8","1u","C_0603_1608Metric",12.350000,36.450000,135.000000,top
"C10","0.1uf","C_0402_1005Metric",25.900000,21.400000,-90.000000,top
"C11","0.1uf","C_0402_1005Metric",28.400000,33.400000,-90.000000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",11.000000,2.150000,0.000000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",35.350000,50.750000,0.000000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",35.000000,2.000000,0.000000,top
"U1","Caravel_QFN_TT4","QFN-64-1EP_9x9mm_P0.5mm_EP7.65x7.65mm_REDUCEDPASTE",22.500000,28.000000,-90.000000,top
