Designator,Mid X,Mid Y,Layer,Rotation
"C1",29.8100,25.0000,top,180.0000
"C2",14.4000,25.9000,top,180.0000
"C4",19.3000,5.3000,top,90.0000
"C5",18.0000,5.8000,top,-90.0000
"C6",52.3500,64.5500,top,0.0000
"C7",55.7000,75.9000,top,180.0000
"C8",65.0000,5.3000,top,-90.0000
"C9",63.7000,5.9000,top,90.0000
"C10",53.0000,74.6000,top,-90.0000
"C11",55.6500,70.0000,top,180.0000
"C12",51.0500,75.0000,top,0.0000
"C13",58.8500,66.6000,top,90.0000
"C14",42.2000,5.4000,top,90.0000
"C15",40.9000,5.9000,top,-90.0000
"C16",88.4000,60.3500,top,90.0000
"C17",86.5000,60.5000,top,90.0000
"C21",30.5000,63.4500,top,-90.0000
"C23",85.1000,64.8000,top,-90.0000
"C24",29.2000,61.0000,top,180.0000
"C25",28.6000,63.0000,top,-90.0000
"C26",85.1000,60.8000,top,90.0000
"C29",56.7000,38.5000,top,180.0000
"C30",60.2000,35.6000,top,-90.0000
"C31",57.9500,63.2000,top,0.0000
"C32",58.3000,52.6000,top,-90.0000
"C33",62.9000,50.2000,top,90.0000
"C34",64.2000,47.9000,top,0.0000
"C35",64.8000,43.6000,top,0.0000
"C36",59.9000,38.6500,top,0.0000
"C37",64.1000,50.8000,top,90.0000
"C38",51.9000,44.5000,top,180.0000
"C39",53.1000,49.6000,top,180.0000
"C40",60.0000,39.6000,top,0.0000
"C41",59.5000,52.0000,top,90.0000
"C48",58.9500,71.6000,top,0.0000
"C49",59.6500,75.8500,top,-90.0000
"C56",8.9000,20.6000,top,-90.0000
"C57",7.7000,20.4000,top,90.0000
"C58",7.4000,69.1000,top,-90.0000
"C59",5.4000,69.9000,top,0.0000
"C60",9.2000,43.3950,top,-90.0000
"C61",8.0000,43.0450,top,90.0000
"D1",88.3000,74.3000,top,90.0000
"D2",83.7500,74.3000,top,90.0000
"D3",79.2000,74.3000,top,90.0000
"D5",67.0000,67.9000,top,180.0000
"D6",63.9000,67.9000,top,0.0000
"F1",59.1000,73.3500,top,180.0000
"FB1",58.1500,75.8500,top,90.0000
"FID1",98.0000,13.0000,top,0.0000
"FID2",8.5000,73.0000,top,0.0000
"FID3",98.0000,68.0000,top,0.0000
"J4",57.5000,40.0000,top,0.0000
"J16",37.5000,40.0000,top,0.0000
"J18",77.5000,40.0000,top,0.0000
"J20",66.1000,75.0000,top,180.0000
"Q1",79.7000,67.9000,top,90.0000
"R1",13.9900,37.5000,top,0.0000
"R2",13.9900,40.0429,top,0.0000
"R3",13.9900,42.5857,top,0.0000
"R4",13.9900,45.1286,top,0.0000
"R5",13.9900,47.6714,top,0.0000
"R6",13.9900,50.2143,top,0.0000
"R7",29.8100,23.5000,top,0.0000
"R8",15.0100,24.5000,top,180.0000
"R9",8.2000,46.9000,top,0.0000
"R10",13.9900,52.7571,top,0.0000
"R11",14.0000,55.3000,top,0.0000
"R12",29.5100,22.3000,top,180.0000
"R13",13.6000,24.0000,top,90.0000
"R14",1.8000,46.9000,top,0.0000
"R15",87.0000,74.9000,top,90.0000
"R17",82.5000,74.9000,top,90.0000
"R18",77.9000,74.9000,top,90.0000
"R20",60.7000,67.7500,top,180.0000
"R21",70.8000,68.0000,top,0.0000
"R22",87.9900,23.0400,top,0.0000
"R23",87.9900,25.5343,top,0.0000
"R24",87.8400,28.0286,top,0.0000
"R25",87.8400,30.5229,top,0.0000
"R26",87.9900,33.0171,top,0.0000
"R27",87.8400,35.5114,top,0.0000
"R28",87.9900,38.0057,top,0.0000
"R29",87.9900,40.5000,top,0.0000
"R30",26.6000,73.0000,top,180.0000
"R31",21.0000,73.0000,top,180.0000
"R32",24.0000,73.0000,top,0.0000
"R34",60.0000,58.9000,top,90.0000
"R35",49.5500,58.0000,top,90.0000
"R36",7.1000,25.2450,top,90.0000
"R37",58.2000,38.9000,top,90.0000
"R38",60.0000,60.9000,top,-90.0000
"R39",60.0000,56.8000,top,-90.0000
"R40",49.4000,60.4500,top,-90.0000
"R41",52.8339,47.9890,top,180.0000
"R42",44.5100,28.5000,top,0.0000
"R43",44.5000,31.0000,top,0.0000
"R44",44.5000,33.5000,top,0.0000
"R45",44.5000,36.5000,top,0.0000
"R46",44.5000,38.5000,top,0.0000
"R47",44.5000,41.3100,top,0.0000
"R48",70.6000,46.3500,top,180.0000
"R49",53.0500,71.1000,top,-90.0000
"R50",77.4000,67.5000,top,90.0000
"R51",69.3000,48.6900,top,180.0000
"R52",69.3000,51.0300,top,180.0000
"R53",69.3000,53.3700,top,180.0000
"R54",69.3000,55.7100,top,180.0000
"R55",69.3000,58.0500,top,180.0000
"SW1",26.0000,27.0000,top,90.0000
"SW2",18.5000,27.0000,top,-90.0000
"SW3",5.1250,49.8000,top,0.0000
"SW4",23.0000,46.5000,top,0.0000
"U1",93.5000,31.5000,top,90.0000
"U2",48.4000,69.9500,top,90.0000
"U3",55.7000,72.8000,top,-90.0000
"U5",54.8000,59.7000,top,0.0000
"U6",59.0000,45.0000,top,0.0000
"Y1",57.5000,36.1500,top,0.0000
