"Comment","Designator","Footprint","LCSC Part #","JLC Part #","Attributes"
"CC0603KRX7R9BB104","C2","C_0402_1005Metric","","C14663",""
"CL10A106MA8NRNC","C1","C_0603_1608Metric","","C96446",""
"","J1","PinHeader_2x06_P2.54mm_PMODPeriph2B","C492434","C492434","2x6 100mil male R/A"
"DMN2005K-7","Q1,Q2","SOT-23","","C260950",""
"","R1,R2","R_0402_1005Metric","","C4109",""
"ERJ-U02F1002X","R3","R_0402_1005Metric","C1858819","C25744","RES 10K OHM 1% 1/10W 0402"
"YC164-JR-07510RL","RN1,RN2","R_Array_Convex_4x0603","C136824","C25511","510 Ohm ±5% 62.5mW Power Per Element Isolated 4 Resistor Network/Array ±200ppm/°C 1206 (3216 Metric), Convex, Long Side Terminals"
"GS3011CG-G","U1,U2","WL_S7DS-157112V12700","C6976938","C22462658","7 SEGMENT COMMON CATHODE"
