"Comment","Designator","Footprint","LCSC Part #","JLC Part #","Attributes"
"GRM155R71C103KA01J","C3,C5","C_0402_1005Metric","C3855387","C3855387","CAP CER 10000PF 16V X7R 0402"
"CL05B104KB54PNC","C2,C4","C_0402_1005Metric","C307331","C307331","100nF 50V X7R ±10% 0402 MLCC"
"CL10A106MA8NRNC","C1","C_0603_1608Metric","C96446","C96446",""
"","J2","PinHeader_2x06_P2.54mm_PMODPeriph2B","C492434","C492434","2x6 100mil male R/A"
"0402WGF0000TCE","R7,R8","R_0402_1005Metric","","C17168","RES 0 OHM 0402"
"ERJ-U02F1002X","R1,R2,R3,R4,R5,R6","R_0402_1005Metric","C1858819","C25744","RES 10K OHM 1% 1/10W 0402"
"PEC12R-4225F-S0024","S1","PEC12R-4225F-S0024","C5331618","C5331618",""
