Designator,Mid X,Mid Y,Layer,Rotation
"C1",8.1000,41.9000,top,0.0000
"C2",8.0000,47.9000,top,0.0000
"C3",5.9000,47.8000,top,90.0000
"C5",46.8000,41.4375,top,0.0000
"C6",46.9500,47.3375,top,0.0000
"C7",46.9500,48.5375,top,0.0000
"C10",22.3000,18.4000,top,270.0000
"C11",29.0000,31.5000,top,90.0000
"C12",20.8000,31.5000,top,90.0000
"C13",22.2000,31.5000,top,90.0000
"C14",29.2000,18.4000,top,270.0000
"C15",35.6000,4.8000,top,0.0000
"C16",25.5000,18.2000,top,270.0000
"C17",25.6000,31.7000,top,90.0000
"J2",6.0000,28.0000,bottom,90.0000
"J3",44.0000,13.0000,bottom,90.0000
"R3",3.1000,42.2000,top,270.0000
"R4",21.4000,42.7000,top,180.0000
"R6",44.4500,44.8375,top,90.0000
"R7",47.9000,38.8375,top,90.0000
"R8",13.5000,42.6500,top,180.0000
"R10",42.1000,36.0000,top,90.0000
"R11",48.0000,36.0000,top,90.0000
"U1",8.0000,45.0000,top,270.0000
"U3",25.0000,25.0000,top,90.0000
