Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0603_1608Metric",8.1000,41.9000,0.0000,top
"C2","10uF","C_0603_1608Metric",8.0000,47.9000,0.0000,top
"C3","100nF","C_0402_1005Metric",5.9000,47.8000,90.0000,top
"C5","10uF","C_0603_1608Metric",46.8000,41.4375,0.0000,top
"C6","10uF","C_0603_1608Metric",46.9500,47.3375,0.0000,top
"C7","100nF","C_0402_1005Metric",46.9500,48.5375,0.0000,top
"C10","1u","C_0402_1005Metric",22.3000,18.4000,-90.0000,top
"C11","1u","C_0402_1005Metric",29.0000,31.5000,90.0000,top
"C12","1u","C_0402_1005Metric",20.8000,31.5000,90.0000,top
"C13","1u","C_0402_1005Metric",22.2000,31.5000,90.0000,top
"C14","1u","C_0402_1005Metric",29.2000,18.4000,-90.0000,top
"C15","100nF","C_0402_1005Metric",35.6000,4.8000,0.0000,top
"C16","1u","C_0402_1005Metric",25.5000,18.2000,-90.0000,top
"C17","1u","C_0402_1005Metric",25.6000,31.7000,90.0000,top
"R3","0","R_0603_1608Metric",3.1000,42.2000,-90.0000,top
"R4","0","R_0805_2012Metric",21.4000,42.7000,180.0000,top
"R6","0","R_0603_1608Metric",44.4500,44.8375,90.0000,top
"R7","0","R_0603_1608Metric",47.9000,38.8375,90.0000,top
"R8","0","R_0805_2012Metric",13.5000,42.6500,180.0000,top
"R10","1k","R_0402_1005Metric",42.1000,36.0000,90.0000,top
"R11","1k","R_0402_1005Metric",48.0000,36.0000,90.0000,top
"U1","AP2112K-1.2","SOT-23-5",8.0000,45.0000,90.0000,top
"U3","TT_IHP_ASIC","QFN-64-1EP_9x9mm_P0.5mm_EP4.7x4.7mm_IHP",25.0000,25.0000,180.0000,top
